77,Lycan,1,201236,412.0,Jungler,5,2,9,9,2012,September
87,Disruptor,1,201236,203.0,Support,2,1,16,9,2012,September
16,Sand King,1,201236,206.0,Support,5,9,20,9,2012,September
68,Ancient Apparition,1,201236,164.0,Support,2,7,6,9,2012,September
53,Furion,1,201236,418.0,\N,0,3,1,9,2012,September
31,Lich,1,201236,162.0,Support,2,1,4,9,2012,September
5,Crystal Maiden,1,201236,150.0,Support,2,4,7,9,2012,September
78,Brewmaster,1,201236,352.0,Carry,17,3,17,9,2012,September
62,Bounty Hunter,1,201236,348.0,Carry,8,2,10,9,2012,September
53,Furion,13,201238,5267.0,Carry,39,51,105,9,2012,September
40,Venomancer,13,201238,3013.0,Support,31,71,151,9,2012,September
21,Windrunner,12,201238,4079.0,Semi-Carry,59,38,114,9,2012,September
66,Chen,11,201238,3363.0,Jungler,31,32,86,9,2012,September
86,Rubick,11,201238,3770.0,\N,39,27,137,9,2012,September
52,Leshrac,11,201238,2764.0,Support,24,57,98,9,2012,September
46,Templar Assassin,9,201238,3685.0,Carry,55,48,58,9,2012,September
33,Enigma,9,201238,3202.0,Jungler,25,44,91,9,2012,September
74,Invoker,9,201238,2970.0,Carry,43,42,37,9,2012,September
10,Morphling,9,201238,4178.0,Carry,73,30,42,9,2012,September
27,Shadow Shaman,8,201238,1959.0,Support,20,56,63,9,2012,September
1,Anti-Mage,8,201238,3592.0,Carry,40,31,33,9,2012,September
29,Tidehunter,7,201238,2006.0,Support,27,38,93,9,2012,September
89,Naga Siren,7,201238,3304.0,Carry,54,25,87,9,2012,September
87,Disruptor,6,201238,1165.0,Support,16,32,76,9,2012,September
58,Enchantress,6,201238,1605.0,Jungler,11,21,45,9,2012,September
81,Chaos Knight,5,201238,2312.0,Carry,53,15,44,9,2012,September
39,Queen of Pain,5,201238,2378.0,Carry,45,12,55,9,2012,September
16,Sand King,4,201238,1080.0,Support,23,27,21,9,2012,September
78,Brewmaster,4,201238,1484.0,Carry,34,13,79,9,2012,September
80,Lone Druid,4,201238,1596.0,Carry,15,14,30,9,2012,September
